"code","description"
"<U+0001F92E>","face vomiting"
"<U+0001F927>","sneezing face"
"<U+0001F607>","smiling face with halo"
"<U+0001F920>","cowboy hat face"
"<U+0001F921>","clown face"
"<U+0001F925>","lying face"
"<U+0001F92B>","shushing face"
"<U+0001F92D>","face with hand over mouth"
"<U+0001F9D0>","face with monocle"
"<U+0001F913>","nerd face"
"<U+0001F608>","smiling face with horns"
"<U+0001F47F>","angry face with horns"
"<U+0001F479>","ogre"
"<U+0001F47A>","goblin"
"<U+0001F480>","skull"
"<U+2620>","skull and crossbones"
"<U+0001F47B>","ghost"
"<U+0001F47D>","alien"
"<U+0001F47E>","alien monster"
"<U+0001F916>","robot face"
"<U+0001F4A9>","pile of poo"
"<U+0001F63A>","grinning cat face"
"<U+0001F638>","grinning cat face with smiling eyes"
"<U+0001F639>","cat face with tears of joy"
"<U+0001F63B>","smiling cat face with heart-eyes"
"<U+0001F63C>","cat face with wry smile"
"<U+0001F63D>","kissing cat face"
"<U+0001F640>","weary cat face"
"<U+0001F63F>","crying cat face"
"<U+0001F63E>","pouting cat face"
"<U+0001F648>","see-no-evil monkey"
"<U+0001F649>","hear-no-evil monkey"
"<U+0001F64A>","speak-no-evil monkey"
"<U+0001F476>","baby"
"<U+0001F476><U+0001F3FB>","light skin tone baby"
"<U+0001F476><U+0001F3FC>","medium-light skin tone baby"
"<U+0001F476><U+0001F3FD>","medium skin tone baby"
"<U+0001F476><U+0001F3FE>","medium-dark skin tone baby"
"<U+0001F476><U+0001F3FF>","dark skin tone baby"
"<U+0001F9D2>","child"
"<U+0001F9D2><U+0001F3FB>","light skin tone child"
"<U+0001F9D2><U+0001F3FC>","medium-light skin tone child"
"<U+0001F9D2><U+0001F3FD>","medium skin tone child"
"<U+0001F9D2><U+0001F3FE>","medium-dark skin tone child"
"<U+0001F9D2><U+0001F3FF>","dark skin tone child"
"<U+0001F466>","boy"
"<U+0001F466><U+0001F3FB>","light skin tone boy"
"<U+0001F466><U+0001F3FC>","medium-light skin tone boy"
"<U+0001F466><U+0001F3FD>","medium skin tone boy"
"<U+0001F466><U+0001F3FE>","medium-dark skin tone boy"
"<U+0001F466><U+0001F3FF>","dark skin tone boy"
"<U+0001F467>","girl"
"<U+0001F467><U+0001F3FB>","light skin tone girl"
"<U+0001F467><U+0001F3FC>","medium-light skin tone girl"
"<U+0001F467><U+0001F3FD>","medium skin tone girl"
"<U+0001F467><U+0001F3FE>","medium-dark skin tone girl"
"<U+0001F467><U+0001F3FF>","dark skin tone girl"
"<U+0001F9D1>","adult"
"<U+0001F9D1><U+0001F3FB>","light skin tone adult"
"<U+0001F9D1><U+0001F3FC>","medium-light skin tone adult"
"<U+0001F9D1><U+0001F3FD>","medium skin tone adult"
"<U+0001F9D1><U+0001F3FE>","medium-dark skin tone adult"
"<U+0001F9D1><U+0001F3FF>","dark skin tone adult"
"<U+0001F468>","man"
"<U+0001F468><U+0001F3FB>","light skin tone man"
"<U+0001F468><U+0001F3FC>","medium-light skin tone man"
"<U+0001F468><U+0001F3FD>","medium skin tone man"
"<U+0001F468><U+0001F3FE>","medium-dark skin tone man"
"<U+0001F468><U+0001F3FF>","dark skin tone man"
"<U+0001F469>","woman"
"<U+0001F469><U+0001F3FB>","light skin tone woman"
"<U+0001F469><U+0001F3FC>","medium-light skin tone woman"
"<U+0001F469><U+0001F3FD>","medium skin tone woman"
"<U+0001F469><U+0001F3FE>","medium-dark skin tone woman"
"<U+0001F469><U+0001F3FF>","dark skin tone woman"
"<U+0001F9D3>","older adult"
"<U+0001F9D3><U+0001F3FB>","light skin tone older adult"
"<U+0001F9D3><U+0001F3FC>","medium-light skin tone older adult"
"<U+0001F9D3><U+0001F3FD>","medium skin tone older adult"
"<U+0001F9D3><U+0001F3FE>","medium-dark skin tone older adult"
"<U+0001F9D3><U+0001F3FF>","dark skin tone older adult"
"<U+0001F474>","old man"
"<U+0001F474><U+0001F3FB>","light skin tone old man"
"<U+0001F474><U+0001F3FC>","medium-light skin tone old man"
"<U+0001F474><U+0001F3FD>","medium skin tone old man"
"<U+0001F474><U+0001F3FE>","medium-dark skin tone old man"
"<U+0001F474><U+0001F3FF>","dark skin tone old man"
"<U+0001F475>","old woman"
"<U+0001F475><U+0001F3FB>","light skin tone old woman"
"<U+0001F475><U+0001F3FC>","medium-light skin tone old woman"
"<U+0001F475><U+0001F3FD>","medium skin tone old woman"
"<U+0001F475><U+0001F3FE>","medium-dark skin tone old woman"
"<U+0001F475><U+0001F3FF>","dark skin tone old woman"
"<U+0001F468><U+200D><U+2695><U+FE0F>","man health worker"
"<U+0001F468><U+0001F3FB><U+200D><U+2695><U+FE0F>","light skin tone man health worker"
"<U+0001F468><U+0001F3FC><U+200D><U+2695><U+FE0F>","medium-light skin tone man health worker"
"<U+0001F468><U+0001F3FD><U+200D><U+2695><U+FE0F>","medium skin tone man health worker"
"<U+0001F468><U+0001F3FE><U+200D><U+2695><U+FE0F>","medium-dark skin tone man health worker"
"<U+0001F468><U+0001F3FF><U+200D><U+2695><U+FE0F>","dark skin tone man health worker"
"<U+0001F469><U+200D><U+2695><U+FE0F>","woman health worker"
"<U+0001F469><U+0001F3FB><U+200D><U+2695><U+FE0F>","light skin tone woman health worker"
"<U+0001F469><U+0001F3FC><U+200D><U+2695><U+FE0F>","medium-light skin tone woman health worker"
"<U+0001F469><U+0001F3FD><U+200D><U+2695><U+FE0F>","medium skin tone woman health worker"
"<U+0001F469><U+0001F3FE><U+200D><U+2695><U+FE0F>","medium-dark skin tone woman health worker"
"<U+0001F469><U+0001F3FF><U+200D><U+2695><U+FE0F>","dark skin tone woman health worker"
"<U+0001F468><U+200D><U+0001F393>","man student"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F393>","light skin tone man student"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F393>","medium-light skin tone man student"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F393>","medium skin tone man student"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F393>","medium-dark skin tone man student"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F393>","dark skin tone man student"
"<U+0001F469><U+200D><U+0001F393>","woman student"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F393>","light skin tone woman student"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F393>","medium-light skin tone woman student"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F393>","medium skin tone woman student"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F393>","medium-dark skin tone woman student"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F393>","dark skin tone woman student"
"<U+0001F468><U+200D><U+0001F3EB>","man teacher"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F3EB>","light skin tone man teacher"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F3EB>","medium-light skin tone man teacher"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F3EB>","medium skin tone man teacher"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F3EB>","medium-dark skin tone man teacher"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F3EB>","dark skin tone man teacher"
"<U+0001F469><U+200D><U+0001F3EB>","woman teacher"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F3EB>","light skin tone woman teacher"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F3EB>","medium-light skin tone woman teacher"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F3EB>","medium skin tone woman teacher"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F3EB>","medium-dark skin tone woman teacher"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F3EB>","dark skin tone woman teacher"
"<U+0001F468><U+200D><U+2696><U+FE0F>","man judge"
"<U+0001F468><U+0001F3FB><U+200D><U+2696><U+FE0F>","light skin tone man judge"
"<U+0001F468><U+0001F3FC><U+200D><U+2696><U+FE0F>","medium-light skin tone man judge"
"<U+0001F468><U+0001F3FD><U+200D><U+2696><U+FE0F>","medium skin tone man judge"
"<U+0001F468><U+0001F3FE><U+200D><U+2696><U+FE0F>","medium-dark skin tone man judge"
"<U+0001F468><U+0001F3FF><U+200D><U+2696><U+FE0F>","dark skin tone man judge"
"<U+0001F469><U+200D><U+2696><U+FE0F>","woman judge"
"<U+0001F469><U+0001F3FB><U+200D><U+2696><U+FE0F>","light skin tone woman judge"
"<U+0001F469><U+0001F3FC><U+200D><U+2696><U+FE0F>","medium-light skin tone woman judge"
"<U+0001F469><U+0001F3FD><U+200D><U+2696><U+FE0F>","medium skin tone woman judge"
"<U+0001F469><U+0001F3FE><U+200D><U+2696><U+FE0F>","medium-dark skin tone woman judge"
"<U+0001F469><U+0001F3FF><U+200D><U+2696><U+FE0F>","dark skin tone woman judge"
"<U+0001F468><U+200D><U+0001F33E>","man farmer"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F33E>","light skin tone man farmer"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F33E>","medium-light skin tone man farmer"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F33E>","medium skin tone man farmer"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F33E>","medium-dark skin tone man farmer"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F33E>","dark skin tone man farmer"
"<U+0001F469><U+200D><U+0001F33E>","woman farmer"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F33E>","light skin tone woman farmer"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F33E>","medium-light skin tone woman farmer"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F33E>","medium skin tone woman farmer"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F33E>","medium-dark skin tone woman farmer"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F33E>","dark skin tone woman farmer"
"<U+0001F468><U+200D><U+0001F373>","man cook"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F373>","light skin tone man cook"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F373>","medium-light skin tone man cook"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F373>","medium skin tone man cook"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F373>","medium-dark skin tone man cook"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F373>","dark skin tone man cook"
"<U+0001F469><U+200D><U+0001F373>","woman cook"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F373>","light skin tone woman cook"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F373>","medium-light skin tone woman cook"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F373>","medium skin tone woman cook"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F373>","medium-dark skin tone woman cook"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F373>","dark skin tone woman cook"
"<U+0001F468><U+200D><U+0001F527>","man mechanic"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F527>","light skin tone man mechanic"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F527>","medium-light skin tone man mechanic"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F527>","medium skin tone man mechanic"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F527>","medium-dark skin tone man mechanic"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F527>","dark skin tone man mechanic"
"<U+0001F469><U+200D><U+0001F527>","woman mechanic"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F527>","light skin tone woman mechanic"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F527>","medium-light skin tone woman mechanic"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F527>","medium skin tone woman mechanic"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F527>","medium-dark skin tone woman mechanic"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F527>","dark skin tone woman mechanic"
"<U+0001F468><U+200D><U+0001F3ED>","man factory worker"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F3ED>","light skin tone man factory worker"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F3ED>","medium-light skin tone man factory worker"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F3ED>","medium skin tone man factory worker"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F3ED>","medium-dark skin tone man factory worker"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F3ED>","dark skin tone man factory worker"
"<U+0001F469><U+200D><U+0001F3ED>","woman factory worker"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F3ED>","light skin tone woman factory worker"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F3ED>","medium-light skin tone woman factory worker"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F3ED>","medium skin tone woman factory worker"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F3ED>","medium-dark skin tone woman factory worker"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F3ED>","dark skin tone woman factory worker"
"<U+0001F468><U+200D><U+0001F4BC>","man office worker"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F4BC>","light skin tone man office worker"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F4BC>","medium-light skin tone man office worker"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F4BC>","medium skin tone man office worker"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F4BC>","medium-dark skin tone man office worker"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F4BC>","dark skin tone man office worker"
"<U+0001F469><U+200D><U+0001F4BC>","woman office worker"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F4BC>","light skin tone woman office worker"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F4BC>","medium-light skin tone woman office worker"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F4BC>","medium skin tone woman office worker"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F4BC>","medium-dark skin tone woman office worker"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F4BC>","dark skin tone woman office worker"
"<U+0001F468><U+200D><U+0001F52C>","man scientist"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F52C>","light skin tone man scientist"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F52C>","medium-light skin tone man scientist"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F52C>","medium skin tone man scientist"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F52C>","medium-dark skin tone man scientist"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F52C>","dark skin tone man scientist"
"<U+0001F469><U+200D><U+0001F52C>","woman scientist"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F52C>","light skin tone woman scientist"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F52C>","medium-light skin tone woman scientist"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F52C>","medium skin tone woman scientist"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F52C>","medium-dark skin tone woman scientist"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F52C>","dark skin tone woman scientist"
"<U+0001F468><U+200D><U+0001F4BB>","man technologist"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F4BB>","light skin tone man technologist"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F4BB>","medium-light skin tone man technologist"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F4BB>","medium skin tone man technologist"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F4BB>","medium-dark skin tone man technologist"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F4BB>","dark skin tone man technologist"
"<U+0001F469><U+200D><U+0001F4BB>","woman technologist"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F4BB>","light skin tone woman technologist"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F4BB>","medium-light skin tone woman technologist"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F4BB>","medium skin tone woman technologist"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F4BB>","medium-dark skin tone woman technologist"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F4BB>","dark skin tone woman technologist"
"<U+0001F468><U+200D><U+0001F3A4>","man singer"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F3A4>","light skin tone man singer"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F3A4>","medium-light skin tone man singer"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F3A4>","medium skin tone man singer"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F3A4>","medium-dark skin tone man singer"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F3A4>","dark skin tone man singer"
"<U+0001F469><U+200D><U+0001F3A4>","woman singer"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F3A4>","light skin tone woman singer"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F3A4>","medium-light skin tone woman singer"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F3A4>","medium skin tone woman singer"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F3A4>","medium-dark skin tone woman singer"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F3A4>","dark skin tone woman singer"
"<U+0001F468><U+200D><U+0001F3A8>","man artist"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F3A8>","light skin tone man artist"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F3A8>","medium-light skin tone man artist"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F3A8>","medium skin tone man artist"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F3A8>","medium-dark skin tone man artist"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F3A8>","dark skin tone man artist"
"<U+0001F469><U+200D><U+0001F3A8>","woman artist"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F3A8>","light skin tone woman artist"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F3A8>","medium-light skin tone woman artist"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F3A8>","medium skin tone woman artist"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F3A8>","medium-dark skin tone woman artist"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F3A8>","dark skin tone woman artist"
"<U+0001F468><U+200D><U+2708><U+FE0F>","man pilot"
"<U+0001F468><U+0001F3FB><U+200D><U+2708><U+FE0F>","light skin tone man pilot"
"<U+0001F468><U+0001F3FC><U+200D><U+2708><U+FE0F>","medium-light skin tone man pilot"
"<U+0001F468><U+0001F3FD><U+200D><U+2708><U+FE0F>","medium skin tone man pilot"
"<U+0001F468><U+0001F3FE><U+200D><U+2708><U+FE0F>","medium-dark skin tone man pilot"
"<U+0001F468><U+0001F3FF><U+200D><U+2708><U+FE0F>","dark skin tone man pilot"
"<U+0001F469><U+200D><U+2708><U+FE0F>","woman pilot"
"<U+0001F469><U+0001F3FB><U+200D><U+2708><U+FE0F>","light skin tone woman pilot"
"<U+0001F469><U+0001F3FC><U+200D><U+2708><U+FE0F>","medium-light skin tone woman pilot"
"<U+0001F469><U+0001F3FD><U+200D><U+2708><U+FE0F>","medium skin tone woman pilot"
"<U+0001F469><U+0001F3FE><U+200D><U+2708><U+FE0F>","medium-dark skin tone woman pilot"
"<U+0001F469><U+0001F3FF><U+200D><U+2708><U+FE0F>","dark skin tone woman pilot"
"<U+0001F468><U+200D><U+0001F680>","man astronaut"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F680>","light skin tone man astronaut"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F680>","medium-light skin tone man astronaut"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F680>","medium skin tone man astronaut"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F680>","medium-dark skin tone man astronaut"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F680>","dark skin tone man astronaut"
"<U+0001F469><U+200D><U+0001F680>","woman astronaut"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F680>","light skin tone woman astronaut"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F680>","medium-light skin tone woman astronaut"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F680>","medium skin tone woman astronaut"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F680>","medium-dark skin tone woman astronaut"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F680>","dark skin tone woman astronaut"
"<U+0001F468><U+200D><U+0001F692>","man firefighter"
"<U+0001F468><U+0001F3FB><U+200D><U+0001F692>","light skin tone man firefighter"
"<U+0001F468><U+0001F3FC><U+200D><U+0001F692>","medium-light skin tone man firefighter"
"<U+0001F468><U+0001F3FD><U+200D><U+0001F692>","medium skin tone man firefighter"
"<U+0001F468><U+0001F3FE><U+200D><U+0001F692>","medium-dark skin tone man firefighter"
"<U+0001F468><U+0001F3FF><U+200D><U+0001F692>","dark skin tone man firefighter"
"<U+0001F469><U+200D><U+0001F692>","woman firefighter"
"<U+0001F469><U+0001F3FB><U+200D><U+0001F692>","light skin tone woman firefighter"
"<U+0001F469><U+0001F3FC><U+200D><U+0001F692>","medium-light skin tone woman firefighter"
"<U+0001F469><U+0001F3FD><U+200D><U+0001F692>","medium skin tone woman firefighter"
"<U+0001F469><U+0001F3FE><U+200D><U+0001F692>","medium-dark skin tone woman firefighter"
"<U+0001F469><U+0001F3FF><U+200D><U+0001F692>","dark skin tone woman firefighter"
"<U+0001F46E>","police officer"
"<U+0001F46E><U+0001F3FB>","light skin tone police officer"
"<U+0001F46E><U+0001F3FC>","medium-light skin tone police officer"
"<U+0001F46E><U+0001F3FD>","medium skin tone police officer"
"<U+0001F46E><U+0001F3FE>","medium-dark skin tone police officer"
"<U+0001F46E><U+0001F3FF>","dark skin tone police officer"
"<U+0001F46E><U+200D>‰<U+FE0F>","man police officer"
"<U+0001F46E><U+0001F3FB><U+200D>‰<U+FE0F>","light skin tone man police officer"
"<U+0001F46E><U+0001F3FC><U+200D>‰<U+FE0F>","medium-light skin tone man police officer"
"<U+0001F46E><U+0001F3FD><U+200D>‰<U+FE0F>","medium skin tone man police officer"
"<U+0001F46E><U+0001F3FE><U+200D>‰<U+FE0F>","medium-dark skin tone man police officer"
"<U+0001F46E><U+0001F3FF><U+200D>‰<U+FE0F>","dark skin tone man police officer"
"<U+0001F46E><U+200D>Š<U+FE0F>","woman police officer"
"<U+0001F46E><U+0001F3FB><U+200D>Š<U+FE0F>","light skin tone woman police officer"
"<U+0001F46E><U+0001F3FC><U+200D>Š<U+FE0F>","medium-light skin tone woman police officer"
"<U+0001F46E><U+0001F3FD><U+200D>Š<U+FE0F>","medium skin tone woman police officer"
"<U+0001F46E><U+0001F3FE><U+200D>Š<U+FE0F>","medium-dark skin tone woman police officer"
"<U+0001F46E><U+0001F3FF><U+200D>Š<U+FE0F>","dark skin tone woman police officer"
"<U+0001F575>","detective"
"<U+0001F575><U+0001F3FB>","light skin tone detective"
"<U+0001F575><U+0001F3FC>","medium-light skin tone detective"
"<U+0001F575><U+0001F3FD>","medium skin tone detective"
"<U+0001F575><U+0001F3FE>","medium-dark skin tone detective"
"<U+0001F575><U+0001F3FF>","dark skin tone detective"
"<U+0001F575><U+FE0F><U+200D>‰<U+FE0F>","man detective"
"<U+0001F575><U+0001F3FB><U+200D>‰<U+FE0F>","light skin tone man detective"
"<U+0001F575><U+0001F3FC><U+200D>‰<U+FE0F>","medium-light skin tone man detective"
"<U+0001F575><U+0001F3FD><U+200D>‰<U+FE0F>","medium skin tone man detective"
"<U+0001F575><U+0001F3FE><U+200D>‰<U+FE0F>","medium-dark skin tone man detective"
"<U+0001F575><U+0001F3FF><U+200D>‰<U+FE0F>","dark skin tone man detective"
"<U+0001F575><U+FE0F><U+200D>Š<U+FE0F>","woman detective"
"<U+0001F575><U+0001F3FB><U+200D>Š<U+FE0F>","light skin tone woman detective"
"<U+0001F575><U+0001F3FC><U+200D>Š<U+FE0F>","medium-light skin tone woman detective"
"<U+0001F575><U+0001F3FD><U+200D>Š<U+FE0F>","medium skin tone woman detective"
"<U+0001F575><U+0001F3FE><U+200D>Š<U+FE0F>","medium-dark skin tone woman detective"
"<U+0001F575><U+0001F3FF><U+200D>Š<U+FE0F>","dark skin tone woman detective"
"<U+0001F482>","guard"
"<U+0001F482><U+0001F3FB>","light skin tone guard"
"<U+0001F482><U+0001F3FC>","medium-light skin tone guard"
"<U+0001F482><U+0001F3FD>","medium skin tone guard"
"<U+0001F482><U+0001F3FE>","medium-dark skin tone guard"
"<U+0001F482><U+0001F3FF>","dark skin tone guard"
"<U+0001F482><U+200D>‰<U+FE0F>","man guard"
"<U+0001F482><U+0001F3FB><U+200D>‰<U+FE0F>","light skin tone man guard"
"<U+0001F482><U+0001F3FC><U+200D>‰<U+FE0F>","medium-light skin tone man guard"
"<U+0001F482><U+0001F3FD><U+200D>‰<U+FE0F>","medium skin tone man guard"
"<U+0001F482><U+0001F3FE><U+200D>‰<U+FE0F>","medium-dark skin tone man guard"
"<U+0001F482><U+0001F3FF><U+200D>‰<U+FE0F>","dark skin tone man guard"
"<U+0001F482><U+200D>Š<U+FE0F>","woman guard"
"<U+0001F482><U+0001F3FB><U+200D>Š<U+FE0F>","light skin tone woman guard"
"<U+0001F482><U+0001F3FC><U+200D>Š<U+FE0F>","medium-light skin tone woman guard"
"<U+0001F482><U+0001F3FD><U+200D>Š<U+FE0F>","medium skin tone woman guard"
